irn,name,county,fiscal_year,unrestricted_aid,restricted_aid,property_tax,income_tax,property_tax_allocation,total_revenue,total_revenue_and_sources,total_expenditure,beginning_cash,ending_cash
050773,Apollo,Allen,2024,7336743,3244822,4023245,0,524331,16805168,20126169,17064187,17169299,20231281
050773,Apollo,Allen,2025,7998692,3519522,4581264,0,599441,18628073,19632475,23576882,20231281,16286874
050799,Southern Hills,Brown,2020,2630110,1372976,1656049,0,241225,6649649,6678754,6540622,5266640,5404772
050799,Southern Hills,Brown,2021,2623982,1372905,1715439,0,232176,6740404,6798939,6502225,5404772,5701486
050799,Southern Hills,Brown,2022,2968349,1708720,1849309,0,270543,7430276,7438589,6586417,5701486,6553658
050799,Southern Hills,Brown,2023,3942641,1832360,2206900,0,267353,8684547,8698912,6782253,6458522,8375181
050799,Southern Hills,Brown,2024,4631960,2174882,1720464,0,267290,9711650,10403063,9527554,8375181,9250690
050799,Southern Hills,Brown,2025,5133416,2369825,2437641,0,308523,10807880,10818351,8206796,9250690,11862245
050815,Ashtabula County Technical And Career Center,Ashtabula,2020,3647499,1699933,3304446,0,474613,9939581,10556174,10459991,6830811,6926994
050815,Ashtabula County Technical And Career Center,Ashtabula,2021,3645392,1699916,3408060,0,464798,10048074,10565620,10362107,6926994,7130507
050815,Ashtabula County Technical And Career Center,Ashtabula,2022,3854655,1935481,3498847,0,457736,10510110,10933256,10797327,7130507,7266436
050815,Ashtabula County Technical And Career Center,Ashtabula,2023,4383528,2041394,3532804,0,453122,11286528,11720170,11547232,7266437,7439375
050815,Ashtabula County Technical And Career Center,Ashtabula,2024,5298933,2416096,4087095,0,516163,13469234,14301524,15320480,7439375,6420419
050815,Ashtabula County Technical And Career Center,Ashtabula,2025,5747865,2752083,4491769,0,600224,15077463,15705928,14163103,6420419,7963244
050856,Belmont-Harrison,Belmont,2020,3286710,1084271,2863025,0,271448,8465021,8562532,8360027,5063676,5266181
050856,Belmont-Harrison,Belmont,2021,3285080,1084271,2972244,0,271598,8558587,8658358,8480428,5266181,5444111
050856,Belmont-Harrison,Belmont,2022,3405213,1339062,2707681,0,283216,8786963,8847318,8681809,5444111,5609620
050856,Belmont-Harrison,Belmont,2023,3424739,1421688,2747877,0,289085,9431063,9502711,9131538,5609621,5980794
050856,Belmont-Harrison,Belmont,2024,3839930,1681871,2872992,0,293054,10322135,10389411,10233090,5980794,6137115
050856,Belmont-Harrison,Belmont,2025,4227037,1845381,3028090,0,318219,10942106,11018601,11672009,6137115,5483707
050880,Butler Technology & Career Development Schools,Butler,2020,20146205,10602746,16543478,0,1984098,50140302,50226005,48710128,18653073,20168950
